object_family,object_type,render_status,draws_directly,resolves_value,interactive,notes
OutputEllipse,Ellipse,drawable,yes,no,no,"closed ellipse plus open arc segment and section primitives with half-degree start/end angles; Fill Attributes type 1 fills with the resolved line colour type 2 fills with the fill colour and type 3 tiles PictureGraphic pattern data for closed/section fills anchored to the mask origin while ignoring PictureGraphic transparency/flashing options; explicit line width zero suppresses the stroke; framebuffer preserves non-zero stroke width including even two-pixel strokes and line art paintbrush spot patterns"
OutputPolygon,Polygon,drawable,yes,no,no,"polygon point list; required LineAttributes AID 3 rejects NULL during Change Attribute replay; Fill Attributes type 1 fills with the resolved line colour type 2 fills with the fill colour and type 3 tiles PictureGraphic pattern data anchored to the mask origin while ignoring PictureGraphic transparency/flashing options; framebuffer preserves non-zero stroke width including even two-pixel strokes and line art paintbrush spot patterns"
Meter,Meter,drawable,yes,yes,no,needle value resolved from NumberVariable; framebuffer uses configured start/end angles for the arc border/tick colours numeric value option and value-positioned needle; min>=max is accepted and drawn as the standard minimum-value clamp
LinearBarGraph,LinearBarGraph,drawable,yes,yes,no,"linear value/target bar; standard target-value fields, border/target/tick/value-line option bits, orientation, and positive/negative direction feed framebuffer rasterisation; min>=max is accepted and draws value/target as the minimum"
ArchedBarGraph,ArchedBarGraph,drawable,yes,yes,no,"arched value/target bar; standard target-value fields, border/target/value-line option bits, start/end angle, deflection direction, and bar width feed framebuffer rasterisation; min>=max is accepted and draws value/target as the minimum"
PictureGraphic,PictureGraphic,drawable,yes,yes,no,uncompressed and valid RLE indexed payloads emit backend-neutral image commands after minimum row-padded decoded length validation for packed 1-bit/4-bit rows; unused packed bits at the end of each PictureGraphic row are ignored; extra bytes beyond the expected row-padded bitmap length are ignored/truncated while malformed compressed or short payloads stay placeholder; Options AID 2 Change Attribute preserves the static raw/RLE bit while updating transparent/flashing bits and actual width/height/format AIDs 4..=6 are Get-Attribute-only; target display width drives the render rectangle while actual dimensions remain the source bitmap dimensions; hosted framebuffer expansion uses the active scene ColourMap/ColourPalette and command-ordered copied-pixel updates clipped in target Picture Graphic coordinates with copied colour indexes outside the target bitmap format treated as transparent/no-copy; hosted GraphicsContext canvas expands packed indexed pixels during Draw VT Object replay and treats indexes outside the Graphics Context canvas format as transparent/no-copy
NumberVariable,NumberVariable,reference-resolved,no,yes,no,value backing for numeric display objects
StringVariable,StringVariable,reference-resolved,no,yes,no,value backing for string display objects including ISO WideString decoding; Change String Value preserves fixed length with space padding and runtime/pool macro replay rejects invalid UTF-8 before retained text mutation
FontAttributes,FontAttributes,reference-resolved,no,yes,no,resolved into font metrics foreground colour standard font-type codes proportional-size/style compatibility and decoration bits; hosted framebuffer text coverage consumes the resolved metrics and basic bold italic inverted underline strikethrough flags
LineAttributes,LineAttributes,reference-resolved,no,yes,no,resolved into line colour exact line width including zero-width no-stroke semantics and two-byte line art paintbrush spot pattern; Change Attribute preserves the full u16 line-art value instead of truncating to a colour-sized byte
FillAttributes,FillAttributes,reference-resolved,no,yes,no,"resolved into fill type colour and PictureGraphic-only pattern references; generic replay rejects type-3 pattern PictureGraphics whose packed monochrome/16-colour rows would leave unused bits before retaining runtime or macro effects; standard Fill Type 1 ignores the Fill Colour field and fills shapes with the current line colour; valid pattern rows render as mask-origin-anchored tiled pattern fills"
InputAttributes,InputAttributes,reference-resolved,no,yes,no,basic 8-bit character validation for InputString edits including byte-only blacklist handling that rejects non-single-byte characters; ignored for WideString variables; Change String Value updates validation string without increasing fixed length; validation type is readable but not Change Attribute mutable
ExtendedInputAttributes,ExtendedInputAttributes,reference-resolved,no,yes,no,wide-character validation model enforced for WideString InputString edits with whitelist and blacklist code-plane ranges and ignored for 8-bit variables; duplicate code-plane records are rejected; validation type is readable but not Change Attribute mutable
ObjectPointer,ObjectPointer,reference-resolved,no,yes,no,placed pointers dereference and materialise their target; NULL pointer values are standard no-object blanks rather than unsupported placeholders; target value is Get Attribute Value readable and retargets through Change Numeric Value not Change Attribute; server/runtime Change Numeric Value rejects missing targets and preserves stricter slot contexts such as SoftKeyMask Key/NULL slots KeyGroup non-NULL Key slots and ScaledGraphic graphic-source chains
Macro,Macro,reference-resolved,no,yes,no,decoded and applied for selected runtime effects and event references including visibility enable input-selection audio-side-effects value background size end-point soft-key-mask list-item delete-pool priority object-label mask-lock nested-macro child-location child-position standard-AID-gated generic-attribute polygon point/scale colour-map and active-mask changes
AuxFunction,AuxFunction,out-of-scope,no,yes,no,AUX routing is protocol state not a data-mask render node
AuxInput,AuxInput,out-of-scope,no,yes,no,AUX routing is protocol state not a data-mask render node
AuxFunction2,AuxFunction2,out-of-scope,no,yes,no,AUX-N routing is protocol state not a data-mask render node
AuxInput2,AuxInput2,out-of-scope,no,yes,no,AUX-N routing is protocol state not a data-mask render node
AuxControlDesignator,AuxControlDesig,out-of-scope,no,yes,no,AUX designator is not drawn by the retained renderer
WorkingSetSpecialControls,WorkingSetSpecialControls,reference-resolved,no,yes,no,initial colour-map/palette applied with NULL or missing Colour Palette selecting the VT default palette instead of arbitrary pool palette discovery; Select Colour Map/Palette and Change Attribute update retained colour selections; server Get Attribute Value AID 2/3 reports the live retained colour selection instead of stale generic attribute overlays; language-pair controls exposed on Scene and validated as two-letter pairs plus standard two-space not-applicable country sentinel with deterministic ASCII-case-insensitive host-preference selection; number-of-bytes-to-follow parser preserves/skips unknown trailing extension bytes and Get Attribute Value AID 1 reports the retained byte count
GraphicData,GraphicData,reference-resolved,no,yes,no,standard Graphic Data body is modelled as PNG payload data with u32 length; hosted renderer decodes supported non-interlaced or Adam7-interlaced grayscale/indexed/grayscale-alpha/RGB/RGBA PNGs including 16-bit grayscale/grayscale-alpha within the 32-bit RGBA maximum with zlib DEFLATE streams including stored fixed-Huffman and dynamic-Huffman blocks with literal and length-distance-copy data plus PNG chunk CRC checks and scanline filters 0..4 through ScaledGraphic into RGBA commands including palette/grayscale/true-colour transparency and reports precise malformed-vs-unsupported placeholders for unsupported PNG format variants including 16-bit RGB/RGBA payloads over the standard 32-bit RGBA maximum; Change Attribute is not admitted for this object
ScaledGraphic,ScaledGraphic,drawable,yes,yes,no,PictureGraphic and ObjectPointer graphic value chains emit backend-neutral indexed-image commands after optional RLE decode and minimum row-padded decoded length validation; unused packed bits at the end of each PictureGraphic row are ignored and extra bytes inherited from PictureGraphic sources are ignored/truncated while malformed compressed or short payloads stay placeholder; supported standard GraphicData PNG references emit RGBA image commands while unsupported PNG format variants stay explicit placeholders; hosted framebuffer expansion uses the active scene ColourMap/ColourPalette or PNG RGBA pixels; the standard ScaleType byte controls scaling mode and horizontal/vertical justification inside the Width/Height field; fixed fields respond to generic attributes and Change Numeric Value including NULL no-graphic; upload/server/runtime validation rejects non-graphic or cyclic ObjectPointer value-source chains
Animation,Animation,drawable,yes,yes,no,standard Value Enabled first/default/last indices and positional child records select and place the active child with upload/server/runtime bounds checks including Change Numeric Value while preserving Value 255 as no-selection; Change List Item updates positional frame child records through server/runtime/macro replay; valid out-of-sequence selected children remain visible until the next refresh tick then First/Last range-checking feeds single-shot or loop advancement; disabled-behaviour option bits are honoured; runtime animation clocks are per object advance only while visible/enabled keep multiple visible instances on the same referenced frame and rebuild only when a visible active frame changes; frame payload may still be placeholder
ColourMap,ColourMap,reference-resolved,no,yes,no,pixel-format colour mapping metadata; body codec uses the standard two-byte entry count and admits only standard 2/16/256-entry colour-map sizes
GraphicContext,GraphicContext,drawable,yes,yes,no,standard graphics context exposes a canvas surface; full type-36 body model covers viewport canvas canonical two-byte viewport/cursor positions initial zoom cursor foreground/background colours font/line/fill references canvas format options and transparency colour including options bit 1 colour-source selection; pool validation checks font/line/fill attribute references before upload/runtime use; transparent canvas commands preserve the configured transparency colour in hosted indexed backing pixels and Copy Canvas/Viewport payloads carry it as the standard do-not-copy index with copied colour indexes outside the target Picture Graphic bitmap format also treated as transparent/no-copy; Change Background Colour including macro replay updates the opaque canvas backing colour and initial canvas background index so Copy Canvas can preserve that backing in later Picture Graphic pixels; hosted framebuffer fills opaque canvas backing preserves transparent backing directly interprets basic cursor/colour erase/point/line/rectangle/ellipse/polygon/DrawText with NULL Font Attributes resetting direct text replay to the default text colour NULL line-attribute disable plus non-NULL restore non-NULL fill-attribute rectangle/ellipse/closed-polygon fills and viewport replay clipped to the viewport and keeps a per-GC indexed canvas so Copy Canvas/Viewport intent updates Picture Graphic pixels without sampling visible framebuffer outlines with copy-time or remembered viewport zoom and target-Picture-Graphic coordinate clipping while ignoring direct copy intent when no bounded GC-owned backing canvas exists; line-attribute colour selectors stroke widths line art paintbrush spot patterns indexed image expansion and standard PNG/RGBA GraphicData quantisation to the nearest active VT palette entry are preserved in backend commands and copied indexed pixels while Draw VT Object replay treats colours outside the Graphics Context canvas format as transparent; writable generic attributes update viewport/cursor/zoom/colour/style/format/options/transparency state while read-only Canvas Width/Height AIDs 5/6 stay Get-Attribute-only; accepted subcommands replay after known object-reference payloads are type/self-recursion checked including drawable Draw VT Object targets explicit rejection of ScaledBitmap compatibility targets non-NULL Picture Graphic copy targets and F.56 counted DrawText including zero-length text and line/fill/font selectors plus finite in-range pan/zoom/viewport-size/Draw VT Object/Copy Canvas/Copy Viewport/cursor/colour/erase/point/line/rectangle/ellipse/polygon/DrawText expand to backend-neutral commands and bounded indexed-pixel snapshots cover primitive/text-cell/Draw-VT-object subsets
ExternalObjectDefinition,ExternalObjectDefinition,reference-resolved,no,yes,no,standard VT5 enabled/NAME/object-list metadata; Change Attribute updates options/NAME fields and Change List Item updates the referenced-object list
ExternalReferenceName,ExternalReferenceName,reference-resolved,no,yes,no,standard VT5 enabled/NAME metadata; Change Attribute updates options and NAME fields
ExternalObjectPointer,ExternalObjectPointer,reference-resolved,no,yes,no,standard VT5 default-object/reference-NAME/external-object-id model; hosted renderer draws the local default object when no external-pool resolver can validate the external target or when the validated target is an ObjectPointer chain ending at NULL while NULL local defaults blank instead of producing unsupported placeholders; live external-pool register/unregister and local-name changes respect active-mask refresh locks revalidate grants on local-name change and treat repeated same-context host updates as no-ops; SoftKeyMask entries can materialise registered external Key targets when NAME/definition grants validate; four-byte Change Numeric Value retargets both reference NAME and external object ID while rejecting invalid local reference NAME targets in server/runtime paths; Change Attribute updates individual pointer fields accepts NULL reference NAME fallback and preserves SoftKeyMask Key/NULL default-slot constraints
ColourPalette,ColourPalette,reference-resolved,no,yes,no,standard VT6 reserved-options plus u16-count ARGB body in B/G/R/A byte order; nonzero reserved options and count/body mismatches rejected; overlays the render palette from index 0 upward with alpha retained in object model but ignored by current opaque RGB renderer; Change Attribute admits only reserved Options AID value zero
GraphicsContext,GraphicsContext,out-of-scope,no,yes,no,machbus compatibility extension, not an ISO 11783-6 object-family completion target; accepted subcommands replay as backend command stream entries
ObjectLabelRef,ObjectLabelRef,reference-resolved,no,yes,no,object label reference list materialised as VT popup/editor metadata with standard font-type and output/drawable graphic-designator type admission
ScaledBitmap,ScaledBitmap,out-of-scope,no,yes,no,machbus compatibility extension not an ISO 11783-6 completion target; standard PNG GraphicData is not consumed through this legacy indexed-bitmap shortcut and the layout path reports explicit unsupported records instead of claiming drawable coverage
