standard_part,module,type,encode,decode,state_machine,tests,golden_vectors,external_oracle,status,notes
ISO11783-6,src/isobus/vt/server.rs,Virtual Terminal server,yes,yes,yes,unit+fixtures+smoke+standard-suite,yes,AgIsoStack++ public VT command enum,implemented-needs-external-oracle,"Server status advertises VT version, GetMemory response uses client-compatible success-code layout, fixture-backed Rust client upload flow activates the working set, malformed empty/truncated/unknown-type object-pool uploads are rejected before client-state creation, memory negotiation gates object-pool transfer, upload windows are per client, stale active pools are not reused after failed reupload, EndOfObjectPool validates the uploaded pool graph before activation and emits error bytes on invalid pools, notification builders reject string declared-length overflow, Get Versions response construction caps overfilled stored-version caches to the one-byte count field instead of wrapping, UnsupportedVTFunction responses/loop avoidance, exact fixed-size ECU command rejection, Get Window Mask Data user-layout background colours, Get Supported WideChars minimum-set range responses, standard Get Supported Objects sorted-object-list response with AUX type-2 capability subquery preservation, Get Attribute Value responses for current body/retained state plus invalid-object/invalid-attribute error bits and Working Set Special Controls AID 1 byte-count reporting, standard Output Line/Rectangle/Ellipse shape AID ordering, Input Number/List enabled-bit overlays that preserve real-time-editing option bits, Container-only HideShow with Hidden AID 3 synchronization across HideShow and Change Attribute, and malformed no-response behavior, bad numeric reserved-byte rejection, numeric-target type and ObjectPointer key-slot context gating, canonical zero-padding for one- and two-byte numeric values, bad-tail/truncated/invalid-UTF-8 ECU string-change rejection, type-aware object-pool upload parsing, typed bodies now cover all 48 declared VT ObjectType variants, serialized object-pool body/child-count/body-plus-child-tail overflow rejection, exactly-one Working Set validation, NULL object ID rejection before it can become a real pool object, Working Set child type validation for DataMask/AlarmMask-only children, SoftKeyMask direct Key/ObjectPointer/ExternalObjectPointer child validation including NULL slot pointers plus ExternalObjectPointer default-object slot retarget validation, KeyGroup key-child validation, Change Priority AlarmMask target and priority-range gating, Change Attribute AID admission including unsupported/read-only AID, wrong-type reference-valued AID, one- and two-byte scalar/reference field width checks, finite numeric scale checks, Button Options latchable-bit preservation, and out-of-range scalar option/format/justification/boolean/shape-angle/state-relative min-max value rejection, GraphicsContext payload/reference target validation plus F.57 response/error emission for known object-reference subcommands including drawable Draw VT Object targets and non-NULL Picture Graphic copy targets, Change List Item target and item-index bounds checks, Change Polygon Point target and point-index bounds checks, Change Child Location/Position parent-child relationship checks, Select Input Object option, target, response, active-mask visibility, and hidden-container checks, zero-screen rejection, VT-version 3..=6 validation before status advertisement, and a server-side semantic state cache for accepted ECU-to-VT change commands are tested. The server now records SelectActiveWorkingSet, Esc, HideShow, standard-target-gated EnableDisable, option-checked SelectInputObject plus response, audio signal/volume, parent-checked child location/position, size, background colour, endpoint, fixed Font/Line/Fill Attributes object-value commands, active mask, soft-key mask, AID-checked raw attributes, priority, bounds-checked list item, delete pool, string/numeric values, object label, bounds-checked polygon point, polygon scale, reference-checked GraphicsContext with standard FF-padded short-command admission, colour map, mask lock, and macro execution while ignoring malformed bool/tail/length/index/AID/reference/scalar-value/wrong-target/invalid-option/non-parent forms without cache mutation; add independent trace fixtures. Remaining H11 VT gap: the working-set state cache is not a renderer/layout engine."
ISO11783-6,src/isobus/vt/render,Virtual Terminal render runtime,partial,partial,yes,unit+fixtures+standard-suite+book-ledger,yes,none,implemented-needs-external-oracle,"Hosted std-gated render/runtime coverage now includes ObjectPool-to-Scene layout, active-mask selection, standard Container-only HideShow replay through Container Hidden body state and parent-to-child scene visibility propagation, runtime state overlays, accepted server-effect replay, command-list rendering, input transaction semantics, VT-to-ECU bus-message lowering/parsing plus full PGN/addressed message wrapping with invalid endpoint rejection before stateful operator-event mutation or held-repeat timing consumption, checked payload admission for activation, numeric/string value, select-input, ESC, user-layout, and pointing notifications including VT6 TAN constructors for activation/numeric messages, NULL object-id rejection before bus payload/full-message emission, VT ESC error-code/TAN payloads plus server-side ESC Input to VT ESC responses, runtime/pool Macro Change String Value strict UTF-8 admission, runtime user-layout placement and host-persistable recall snapshots for Window Mask and Key Group nodes plus VT On User-Layout Hide/Show payload/full-message emission for visible placed nodes, VT Pointing Event payload/full-message emission for non-interactive Data Mask and free-form Window Mask touch areas, H.3/H.5/H.7/H.9/H.11/H.13/H.14/H.15/H.16/H.17/H.19/F.57 ECU response/error helpers for Soft Key Activation, Button Activation, Pointing Event, Select Input Object, VT ESC, Numeric Value Change, Change Active Mask, Change Soft Key Mask, String Value Change, and Graphics Context payload/full-message validation, Lock/Unlock Mask deferred active-mask refresh with host-driven timeout expiry, soft-key/page/window/key-group behavior including Soft Key Mask pointer children, NULL reserved slots, trailing NULL trimming, KeyGroup/SoftKeyMask ObjectPointer retarget validation, SoftKeyMask ExternalObjectPointer default-object retarget validation, over-reserved navigation-cell clamping, and Key-vs-mask background precedence, standard-aware retained attribute/value replay plus direct runtime numeric-value width gating including Alarm Mask Change Priority metadata, bounds-checked Change List Item and Change Polygon Point replay, Output Line Change End Point geometry/direction, open Output Ellipse arc/segment/section command emission and framebuffer rasterisation, output-shape line-width-zero no-stroke semantics through command emission and framebuffer replay, framebuffer shape/vector stroke-width and full two-byte LineAttributes line-art Change Attribute retention/rasterisation including even two-pixel strokes and paintbrush spot patterns, value-aware meter border/tick/needle and linear/arched bar graph rasterisation with standard target-value fields plus target/tick/border/value-line option bits, Input String options, and read-only Output List value handling, Output List selected drawable item materialisation clipped to the list rectangle plus no-display rules for NULL/hidden selected items, canonical graphics context replay primitives plus the full type-36 body, F.57 response parser/builder, pool-validated font/line/fill references, and AID 1..=17 generic attribute model with transparent-canvas transparency-colour preservation as the Copy Canvas/Viewport do-not-copy index, line-attribute stroke widths and line-art patterns preserved in backend commands and copied Picture Graphic pixels, plus malformed known-payload rejection, standard ColourPalette reserved-options/u16-count/B-G-R-A ARGB body validation with reserved Options AID zero-only Change Attribute handling, supported standard GraphicData PNG decode to RGBA image commands with malformed-vs-unsupported PNG diagnostics plus image/animation placeholders, object-identified indexed-image paths, host-loop animation tick scheduler hints, a repo-owned object render ledger, promoted VT3 and reduced seeder object-pool fixtures plus a reduced VT3 command trace that render through the hosted framebuffer with checked-in RGB888/RGB565 artifacts, and a deterministic runtime-aware software framebuffer consumer with Graphics Context Picture Graphic pixel updates including opaque canvas background copies plus RGB888/RGB565 byte export. This row is partial because the renderer is not a no_std embedded display stack, not an AEF-certified VT, and not calibrated pixel/font/bitmap output; broader target-display/commercial-VT comparisons remain future evidence. Real UI/GPU/window backends are deferred out of PLAN_VT scope."
ISO11783-6,src/isobus/vt/server_working_set.rs,VT server working-set storage,no,yes,yes,unit+fixtures,yes,none,implemented-needs-external-oracle,"Pool version store/load/delete is unit-tested with disk round trips; classic labels are bounded and path-safe, storage filenames are hex-encoded instead of raw labels, local VTP1 header/pool bytes are fixture-backed, mismatched on-disk labels are rejected, oversized headers are rejected before pool allocation, save rejects stale size metadata or oversized payloads before disk write, load rejects trailing bytes after the declared pool body, and cached/disk-loaded version lists are bounded to the one-byte Get Versions count while allowing replacement of existing labels; add external VT version-store/load/delete traces."
ISO11783-6,src/isobus/vt/update_helper.rs,VT client update helper,yes,no,partial,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"State-machine partial because the helper serializes local ECU-to-VT update operations and tracks pending cached slots, but it is not a full VT peer/session decoder by itself; UpdateOp dispatch to canonical ECU-to-VT command bytes is fixture-backed for numeric, string, hide/show, enable/disable, and active-mask commands; batch mode now coalesces duplicate slots to last-write-wins, removes pending updates when callers revert to the cached tracker value, checked scaled numeric conversion rejects non-finite/out-of-range raw values instead of saturating, oversized string updates reject before entering a batch or reaching serializer length wrap, and arbitrary operation property coverage bounds pending work by unique update slots; add external application-level VT update traces."
ISO11783-6,src/isobus/vt/state_tracker.rs,VT client state tracker,no,yes,yes,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"VT status/value/visibility/alarm mirror paths are unit-tested; fixture-backed value-change coverage checks exact fixed-size VT status/control handling, reserved-byte numeric-value rejection, bad string-tail rejection, truncated string-change rejection without mutating cached strings, invalid UTF-8 rejection without mutating cached strings or the accepted source address, hide/show plus enable/disable reserved-boolean rejection without mutating cached visibility/enabled state, malformed/unknown message source-address preservation, and reset of cached VT function code to not-available; arbitrary VT-to-ECU message property coverage is panic-free and bounded; add broader independent VT notification traces."
ISO11783-6,src/isobus/vt/auxiliary_caps.rs,VT v5 auxiliary capability discovery,yes,yes,yes,unit+fixtures,yes,none,implemented-needs-external-oracle,"Get Supported Objects auxiliary request and two-channel response are fixture-backed; wrong sub-function, truncated channel list, and trailing bytes are rejected without clearing the pending request; the VT client/server discovery codec exchanges configured auxiliary channels, emits typed events, and stays silent for malformed or NULL-source requests; add external VT auxiliary-capability traces."
ISO11783-6,src/net/iop_parser.rs,IOP byte walker,no,yes,no,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"Synthetic object parsing, clean-end validation, deterministic version hashing, fixture-backed container/number-variable/output-string/macro bodies, corrected Working Set language-tail and Window Mask required-object walking, standard VT5/VT6 extended object lengths for Graphic Context, External Object Definition/Reference/Pointer, Animation, Graphic Data PNG/u32 payloads, and Colour Palette, arbitrary-byte panic-free property coverage, and strict rejection of empty/short buffers, trailing partial headers, and truncated object bodies are covered; add real exported .iop fixtures from independent VT tooling."
ISO11783-7,"src/j1939/heartbeat.rs",Heartbeat protocol,yes,yes,yes,unit+integration+fixtures+property+AgIsoStack+session-suite,yes,AgIsoStack,implemented-needs-external-oracle,"INIT, first/last normal, sender error, shutdown, one-byte PGN metadata, AgIsoStack-compatible heartbeat request payload fixtures, and raw request/first-heartbeat identifier checks are covered; sender/receiver/tracker tests cover normal counter wrap, wrap jump limits, comm-error timeout edges, eight-frame recovery, tracker reset, raw tracker wrong-PGN NULL-source broadcast-source malformed-width and reserved-sequence rejection, long-tick multi-miss accounting, sender long-tick single emission with phase preservation, zero-interval disabled behavior, bounded tracker long-tick accounting/collapsed huge replay, and arbitrary sender/receiver/tracker state-machine property coverage; session two-node integration (`tests/standard/session_harness.rs`) has both nodes broadcast heartbeats on cadence, each tracking the other and observing sent/received events with a held peer sequence; add broader heartbeat PGN external/reference traces."
ISO11783-7,src/isobus/guidance.rs,top-level guidance codec,yes,yes,no,unit+fixtures+property,yes,AgIsoStack++ public guidance constants,implemented-needs-external-oracle,"Curvature now uses km^-1 units, 0.25 km^-1/bit, zero raw 32128, strict 8-byte payloads, finite min/max clamping, all-ones not-available behavior, and arbitrary-byte property decode coverage; add external guidance traces or retire this legacy facade behind the richer implement guidance module."
ISO11783-7,"src/isobus/implement/*",implement control/status codecs and session workflow,yes,yes,yes,unit+fixtures+session-suite+property+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"Rear-hitch raise plus broad first fixtures for PTO command/status, aux valve command/flow, tractor control mode, speed/distance, lighting, guidance, drive strategy, hitch roll/pitch, combined hitch/PTO, tractor facilities, expanded sentinel/default/not-available cases for guidance, drive/guidance commands, combined hitch/PTO, roll/pitch, speed, lighting, hitch/PTO, and aux commands, first min/max/error edges including drive-strategy upper-edge bytes, guidance curvature min/max raw bytes, and guidance machine/system max-error bytes, strict short/overlong fixed-size decoder rejection, tractor-command bad-padding/reserved-command/reserved-mode rejection, lighting/machine-speed bad-padding/reserved-bit rejection, speed/distance/hitch/PTO/aux-flow bad-padding/reserved-bit rejection, speed-distance status 0xFFFF speed and reserved hitch-position rejection, guidance machine/system/curvature bad-padding/reserved-control rejection, implement-guidance finite curvature clamping and 0xFFFF not-available rejection, speed/distance/status encode clamping for non-finite/negative/oversized scaled values, machine-speed command builder clamping without emitting 0xFFFF, guidance-system command curvature clamping, drive/guidance/combined-command bad-padding/reserved-control rejection, decode-time aux-valve index rejection, arbitrary-byte property coverage across implement decode paths, and TractorFacilities overlong rejection with 4-byte legacy subset decoding are covered; selected AgIsoStack SpeedMessages vectors now pin MachineDirection bit semantics, wheel speed byte-7 key/operation/reversed fields, and wheel/ground/selected-speed identifiers; selected AgIsoStack AgriculturalGuidanceInterface vectors now pin Agricultural Guidance Machine Info PGN 0xAC00, Guidance System Command PGN 0xAD00, priority-3 identifiers, curvature scale/offset, byte-2 machine status packing, byte-3 limit bits, byte-4 exit/remote-engage bits, command status reserved-one bits, listen-only decode payloads, and 8031.75 km^-1 guidance curvature upper clamp; aux-valve command builders reject indexes outside 0..=15; session two-node integration (`tests/standard/session_harness.rs`) has one node broadcast hitch/PTO/wheel-speed status and the peer Implement plugin cache and emit the matching ImplementEvents; add external/reference implement ECU traces."
ISO11783-8,src/j1939/engine.rs,engine messages,yes,yes,partial,unit+fixtures+property+standard-suite,yes,none,implemented-needs-external-oracle,"State-machine partial because the powertrain plugin provides routing/cache/events but not an autonomous engine ECU model. Round trips, exact 8-byte short/overlong rejection across fixed-size engine codecs, bad reserved-tail padding rejection for every fixed-size engine codec with unused tail bytes, fixture-backed exact bytes for EEC1, EEC2, EEC3, ET1, ET2, Engine Fluid Level/Pressure, Engine Hours/Revolutions, Fuel Economy, TSC1, VEP1, Ambient Conditions, Dash Display, Vehicle Position, Fuel Consumption, Aftertreatment 1/2, Component Identification, and Vehicle Identification, arbitrary-byte property coverage with canonical re-encode/re-decode checks for successful fixed-size decodes plus a retained 32-bit scaled raw-value regression seed, standard-suite strict printable-ASCII exact-star-field Component/Vehicle Identification rejection and arbitrary-byte decode/re-encode properties for identification payloads, first raw min/upper edge vectors for EEC1/EEC2/EEC3, ET1/ET2, EngineFluidLP, EngineHours/Revolutions, TSC1, VEP1, AmbientConditions, DashDisplay, VehiclePosition, FuelEconomy, FuelConsumption, and Aftertreatment 1/2, EEC1 reserved-tail/starter-nibble and required-field sentinel rejection, EEC2 control reserved-nibble rejection while preserving status upper edges, TSC1 command round-trip plus speed/torque sentinel rejection, EEC3/ET1/ET2/EngineFluidLP/EngineHours/FuelEconomy/TSC1/VEP1/AmbientConditions/DashDisplay/VehiclePosition/FuelConsumption/Aftertreatment scalar not-available sentinel rejection for non-optional fields, encode clamping away from not-available sentinels for out-of-range or non-finite numeric inputs, and powertrain-plugin routing for EEC1 plus TP-sized VIN are tested; add external/public PGN traces."
ISO11783-8,src/j1939/transmission.rs,transmission and vehicle-speed messages,yes,yes,partial,unit+fixtures+property+standard-suite,yes,none,implemented-needs-external-oracle,"State-machine partial because the powertrain plugin provides routing/cache/events but not an autonomous transmission ECU model. Round trips, exact 8-byte short/overlong rejection, ETC1 reserved-control-bit rejection, reserved-tail-padding rejection, standard-suite unrepresentable raw not-available sentinel rejection for ETC1 speed/gears, Transmission Oil Temperature, and Cruise Control wheel/set speed fields, fixture-backed exact bytes for ETC1, Transmission Oil Temperature, and Cruise Control / Vehicle Speed, arbitrary-byte property coverage with canonical re-encode/re-decode checks for successful decodes, first minimum/upper/status edge vectors, encode clamping away from not-available sentinels for out-of-range or non-finite inputs, and powertrain-plugin routing for ETC1 are tested; add external/public PGN traces."
ISO11783-8,src/j1939/speed_distance.rs,wheel/ground/machine speed-distance messages,yes,yes,no,unit+fixtures+property+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"Round trip, not-available sentinels, exact 8-byte short/overlong rejection, reserved-tail-padding rejection, fixture-backed exact bytes for the shared speed/distance payload, arbitrary-byte property coverage with canonical re-encode/re-decode checks for successful decodes, first zero/upper non-sentinel edge vectors, Some-value encode clamping away from not-available sentinels for out-of-range or non-finite inputs, and selected AgIsoStack SpeedMessages machine-selected/wheel/ground payloads parsed through the shared measurement-prefix decoder are tested; add physical/external PGN traces."
ISO11783-9,"src/j1939/maintain_power.rs",maintain-power lifecycle,yes,yes,yes,unit+fixtures+property+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"Maintain Power now uses the AgIsoStack-compatible ISO11783-9 payload layout for in-work, park, ready, transport, PWR, and ECU_PWR fields; exact active-request, inactive/no-request, and not-available/dont-care payload fixtures plus selected AgIsoStack 0x5F 0x55 and 0x0F 0x00 examples are covered; strict short/overlong fixed-size rejection, byte-0 low-nibble rejection, reserved 0xFF tail rejection, codec, key-off/key-on, valid-source ingress checks, no-request shutdown after minimum hold, fresh-request maintaining entry, standard-suite shutdown request freshness and CF repeat-cadence boundaries, wrong-PGN no-extension behavior, request expiry, CF periodic request broadcast, and max-extension forced shutdown are tested; arbitrary-byte utility property coverage checks accepted Maintain Power payloads re-encode and decode canonically; add external/reference protocol traces."
ISO11783-9,"src/isobus/implement/tractor_facilities.rs",Tractor facilities codec,yes,yes,yes,unit+fixtures+standard-suite,yes,none,implemented-needs-external-oracle,"TractorFacilities Required and Response PGNs are distinct and share the fixed 8-byte payload codec with reserved-byte rejection; class/front/guidance/powertrain bit matrix round-trip tests cover representative facility groups and canonical unused bytes; add external TECU/implement facility exchange traces."
ISO11783-9,src/isobus/tractor_ecu.rs,Tractor ECU/power management,yes,yes,yes,unit+fixtures,yes,none,implemented-needs-external-oracle,"Classification/addenda strings, default power/config intervals/currents, maintain-power request-expiry boundary, and default power-state semantic snapshots are fixture-backed; maintain-power wire bytes live under the j1939 maintain-power row; add external TECU/status/facility traces."
ISO11783-10,src/isobus/tc/client.rs,Task Controller client,yes,yes,yes,unit+fixtures+session-suite+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"AgIsoStack-compatible server TC Status byte 0xFE, canonical TC Status byte/width rejection before server-source binding, TechnicalCapabilities, RequestValue/Value, SetValueAndAcknowledge, ack error, wrong-PGN direct-handler rejection, NULL/broadcast source rejection, bound-TC source filtering, explicit try_handle_tc_message validation errors for wrong-PGN, invalid-source, bound-source, empty-frame, malformed fixed-size version-request frames, and malformed fixed-size lifecycle response frames, malformed process-data ingress rejection, reserved command-nibble rejection, explicit unsupported process-data command rejection, exact TechCapabilities request padding / response-command collision rejection, structure/localization label request workflow, canonical device descriptor mux bytes, command-prefixed DDOP transfer, activation/deactivation/delete, connected reupload workflow, strict rejection of short or bad-padding Version/StructureLabel/LocalizationLabel/ObjectPool/Activate/Delete responses before handshake transitions, and process-data/handshake collision fixtures exist; selected AgIsoStack MessageEncoding payloads pin Working Set Master, version request, status, version response, structure/localization/delete requests, PDACK, value command, and TC-identification request; session two-node integration (`tests/standard/session_harness.rs`) drives the TcClient↔TcServer handshake so the client advances past Disconnected and the server observes the client version; needs broader external/reference TC traces."
ISO11783-10,src/isobus/tc/server.rs,Task Controller server,yes,yes,yes,unit+fixtures+session-suite+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"Server status uses AgIsoStack-compatible byte 0xFE and now exposes BusyExecutingACommand bit plus current command source/command bytes, TechnicalCapabilities, structure/localization label responses, RequestValue/Value, SetValueAndAcknowledge, callback error ack, wrong-PGN direct-handler rejection, NULL/broadcast source rejection, explicit try_handle_client_message and try_handle_working_set_master validation errors for wrong-PGN, invalid-source, empty-frame, malformed fixed-size request, malformed client-version response, and malformed Working Set Master frames, malformed process-data ingress rejection before callbacks, reserved command-nibble rejection, explicit unsupported process-data command rejection, malformed peer-control rejection before callbacks/ACKs, exact TechCapabilities request padding / response-command collision rejection, canonical object-pool transfer/storage/activation/deactivation/delete, malformed activate/deactivate/delete lifecycle request bytes reject before low-nibble process-data fallback or client-state creation, short transfer rejection before client-state creation, malformed-transfer no-corruption after activation, duplicate accepted-transfer idempotence, fallible process-data and measurement command builders reject element numbers above the 12-bit command field before truncation, strict rejection of short or bad-padding object-pool lifecycle requests before client-state creation, activation-before-upload error, and command-collision fixtures exist; selected AgIsoStack MessageEncoding, B6CommandBusyState, and ClientVersionTracking payloads pin TC server Working Set Master registration, version requests, stored client-version updates/events, version response, structure/localization label response bytes, RequestValue, measurement interval/threshold, SetValueAndAcknowledge, SetValue bytes, busy-state status bytes, and priority-5/priority-3 PDU1 identifiers; the measurement-trigger runtime tracks configured time intervals, accumulated distance, min/max/change thresholds, on-change transitions, total observations, and latest values, then emits destination-specific RequestValue commands through update_measurements, record_measurement_distance, inbound Value handling, and server tick for time-based triggers; standard-suite threshold crossing tests pin change/min/max trigger boundaries and no retrigger while remaining outside a threshold; TcServer construction rejects zero-boom and zero/reserved-section topologies while preserving channel count as an opaque one-byte capability and exposes structure/localization label set/get/clear; session two-node integration (`tests/standard/session_harness.rs`) drives the TcClient↔TcServer handshake so the server observes the client's version during the DDOP handshake; needs official-spec review for stronger topology rules and broader external/reference TC traces."
ISO11783-10,src/isobus/tc/ddop.rs,Task Controller DDOP object pool,yes,yes,partial,unit+fixtures+property+AgIsoStack+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"State-machine partial because DDOP parsing/serialization/validation is covered locally while full TC upload, activation, and peer acceptance depend on external Task Controller behavior; sprayer-shaped all-object and metered-drill two-section scaled-rate exact-byte fixtures plus invalid unknown element-type, duplicate object-id, null object-id rejection, self-parent and self-child rejection, non-ASCII text, overlong text, non-finite value-presentation scale, process-data trigger reserved-bit rejection before validation or serialization success, checked signed DDI/element/object ID construction, auto-ID allocation that skips used/NULL IDs and rejects exhausted pools, standalone object serializer rejection for unencodable text/count/scale fields, hostile-count/string truncation, arbitrary-byte bounded parse/serialize/validate coverage, and selected AgIsoStack CreateSprayerDDOP object-ID/designator/DDI/presentation/trigger/scale expectations for DVC/DET/DPT/DVP/DPD objects are covered; add real exported implement pools and broader external oracle traces."
ISO11783-10,src/isobus/tc/ddop_helpers.rs,Task Controller DDOP helper extraction,no,yes,no,unit+fixtures+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"Geometry/rate/total extraction and parent lookup are unit-tested against sprayer-shaped DDOPs; fixture-backed two-section sprayer expectations lock connector/boom offsets, section IDs/numbers/widths, rate/total DDI classification, and parent lookup; property-backed rate/default/min/max constants now appear as non-editable RateInfo values; section-count helpers expose checked and usize variants and the legacy u16 count saturates instead of wrapping for invalid oversized pools; selected AgIsoStack DDOPHelper_NoFunctions section geometry and property-backed rate values plus DDOPHelper_SubBooms sub-boom section geometry and bin-hosted rate process data are covered; add external implement expectations."
ISO11783-10,src/isobus/tc/geo.rs,Task Controller GEO prescription helpers,yes,yes,yes,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"Position payload no-fix errors, exact 8-byte GNSS rapid-position decode, wrong-PGN rejection, NULL/broadcast source-address rejection, strict short/overlong GNSS payload rejection, explicit try_handle_gnss_position errors for wrong PGN/source/width/sentinel ingress, not-available sentinel rejection, out-of-range latitude/longitude raw-value rejection without cache overwrite, outgoing latitude/longitude process-data rejection for non-finite or out-of-range positions, arbitrary GNSS payload property coverage with finite bounded cached positions, exact latitude/longitude Value process-data payloads for a 0.5° position, DDI-aware prescription-rate engineering conversion and Process Data Value payload emission for known rate DDIs, rejection of unknown/non-rate/out-of-range rate DDIs, outer-boundary inclusion, degenerate/non-finite polygon rejection, holes, hole-boundary exclusion, overlap first-match behavior, and semantic fixture expectations exist; add TC-GEO task-data imports and external traces."
ISO11783-10,src/isobus/tc/peer_control.rs,Task Controller peer control,yes,yes,yes,unit+fixtures+property,yes,none,implemented-needs-external-oracle,"Exact assignment payloads, including normal and max 12-bit element / 16-bit DDI encoding, checked encode rejection for unencodable source elements, fixture-backed strict decode rejection for short/overlong/wrong-command/invalid-source-or-destination payloads, arbitrary decode property coverage, address-scoped add/remove/activate, duplicate identity, ambiguous source-only lookup rejection, idempotent activation, and clear removal events are tested; add external peer-control traces."
ISO11783-11,src/isobus/tc/ddi_database.rs,DDI database,no,yes,no,unit+fixtures+AgIsoStack+source-manifest,yes,AgIsoStack,implemented-needs-external-oracle,"Generated table size, source version, deterministic FNV-1a fingerprint, first/last entry snapshot, lookup helpers, generated-unit description coverage for every unit symbol used by the table, source-provenance/staleness manifest alignment against the public ISOBUS database version, standard-suite source-policy coverage without copying dictionary tables, public example DDI-reference validation against the generated lookup table, AgIsoStack-compatible get_entry facade for selected DDI lookups plus unknown sentinel behavior, engineering conversions including non-finite/out-of-range clamp behavior, ordering, and category helpers are tested; still needs regeneration from the newer public DDI export under the applicable database terms and broader DDI value/category fixtures."
ISO11783-12,src/j1939/diagnostic.rs,diagnostics/DM codecs,yes,yes,partial,unit+integration+fixtures+AgIsoStack+session-suite+standard-suite,yes,AgIsoStack,implemented-needs-external-oracle,"State-machine partial because local DM1/DM2/DM3/DM11 request handling and many diagnostic codecs are covered, but full diagnostic tool workflows, memory access, and ECU-specific state transitions need external service-tool traces; session two-node integration (`tests/standard/session_harness.rs`) has one node raise a DTC and the peer Diagnostics plugin observe the broadcast DM1; DM1 codec coverage includes single-frame and multi-packet TP/BAM reassembly; PGN Request responses for DM1/DM2, unsupported diagnostic request NACK/silence behavior including destination-specific VIN PGN requests, service-tool DM11/DM3 clear flows, malformed short DM11 ignore behavior, and strict DTC-list payload alignment are tested; exact diagnostic request/response fixtures now lock DM1/DM2 PGN Request payloads, multi-DTC DM1 response bytes, lamp-only DM2 response bytes, and DM11 clear-active bytes; selected AgIsoStack DiagnosticProtocol expectations now pin DTC bytes for SPNs 1234, 567, and 8910 plus all-off, amber slow-flash, red-stop solid lamp bytes, DM13 suspend announcement and network/current-link stop/start broadcast-control layout, DM22 clear/ack/NACK control reason reserved-byte and SPN/FMI layout, Product Identification field order, and count-free Software Identification strings; DTC max SPN/FMI/occurrence, active single-DTC DM1, lamp-only DM1, previous-DTC DM2, DM6 pending, DM12 emissions-related active, DM23 previous-MIL-off, DM3/DM11 clear-all, fixed-size DM5/DM7/DM8/DM13/DM22/DM25 utility fixtures with short/overlong rejection, Dm5Message alias coverage, DM9 VIN PGN-request bytes, DM10 printable-ASCII star-terminated VIN response bytes, DM5/DM7/DM13/DM25 reserved-tail rejection, DM13 bad suspend-signal rejection, DM22 reserved-padding/non-NACK-reason rejection, DM7/DM8/DM25 reserved SPN/FMI bit rejection, DTC/DM4/DM8/DM20/DM21/ProductIdentification/SoftwareIdentification/FreezeFrame variable diagnostic fixture rejection for prefix/truncated/trailing payloads, DTC reserved occurrence-bit rejection, nested SPN reserved-bit rejection, diagnostic SPN-bearing encoder clamping to the 19-bit maximum for DTC/DM7/DM8/DM20/DM22/DM25/FreezeFrame snapshots, classic DM DTC-list bad-tail rejection, transport-length partial-DTC rejection, DM4 reserved-byte/partial-DTC rejection, strict printable-ASCII star-delimited Product/Software/DM10 VIN Identification decode/encode rejection, standard-suite DM20 monitor-ratio complete-group and reserved-SPN-bit rejection, standard-suite FreezeFrame snapshot-count and reserved-snapshot-bit rejection, and FreezeFrame snapshot-count encode rejection above the u8 wire field are added; add full external diagnostic workflow traces."
J1939,"src/j1939/dm_memory.rs",DM14/DM15/DM16 memory access and ECU identification,yes,yes,yes,unit+fixtures+property+AgIsoStack,yes,AgIsoStack,implemented-needs-external-oracle,"DM14 write/direct-virtual, DM15 completed, DM16 five-byte and exact larger data, and ECU-identification payloads are fixture-backed; selected AgIsoStack DiagnosticProtocol examples cover ECU Identification ISO mode with hardware ID and J1939 mode without hardware ID; DM14/DM15 reject short, overlong, reserved-control/status, and reserved-command/status fixed-size payloads and public encode rejects addresses above the 24-bit wire field; standard-suite coverage pins DM14 command/pointer-type combinations, reserved command rejection, DM16 exact seven-byte single-frame and reassembled-length boundaries, DM15 reserved high status bits, reserved low status values, and 24-bit address encode rejection; DM16 rejects hidden non-FF classic tails, classic counts above seven, and declared-length mismatches while public single-frame encode rejects over-seven counts and declared/data-length mismatches; ECU Identification rejects too-few, too-many, trailing, or non-ASCII star-delimited fields and public encode rejects delimiter/non-printable bytes; arbitrary-byte utility property coverage checks accepted DM14/DM15/DM16/ECU-identification decodes are bounded and canonical where single-frame encodable; add external service-tool memory access and broader ECU-identification traces."
ISO11783-13,src/isobus/file_transfer.rs,legacy File Transfer constants,yes,yes,no,unit+fixtures,yes,none,implemented-needs-external-oracle,"Legacy top-level operation/error/attribute/default-config constants are fixture-backed; operation-byte decode rejects reserved values; active File Server behavior is covered by isobus::fs rows; add external traces only if this legacy PGN surface remains supported."
